UF,Código do Município,Nome,População 2007,Área (km2)
AC,120001,Acrelândia,11520,1575
AC,120005,Assis Brasil,5351,2876
AC,120010,Brasiléia,19065,4336
AC,120013,Bujari,6543,3468
AC,120017,Capixaba,8446,1713
AC,120020,Cruzeiro do Sul,73948,7925
AC,120025,Epitaciolândia,13434,1659
AC,120030,Feijó,31288,24202
AC,120032,Jordão,6059,5429
AC,120033,Mâncio Lima,13785,4672
AC,120034,Manoel Urbano,7148,9387
AC,120035,Marechal Thaumaturgo,13061,7744
AC,120038,Plácido de Castro,17258,2047
AC,120080,Porto Acre,13716,2985
AC,120039,Porto Walter,8170,6136
AC,120040,Rio Branco,290639,9223
AC,120042,Rodrigues Alves,12428,3305
AC,120043,Santa Rosa do Purus,3948,5981
AC,120050,Sena Madureira,34230,25278
AC,120045,Senador Guiomard,18863,1837
AC,120060,Tarauacá,32171,15553
AC,120070,Xapuri,14314,5251
AL,270010,Água Branca,19316,455
AL,270020,Anadia,17274,189
AL,270030,Arapiraca,202398,351
AL,270040,Atalaia,50323,532
AL,270050,Barra de Santo Antônio,13731,138
AL,270060,Barra de São Miguel,7247,77
AL,270070,Batalha,16247,321
AL,270080,Belém,5031,48
AL,270090,Belo Monte,7238,334
AL,270100,Boca da Mata,25145,187
AL,270110,Branquinha,11796,191
AL,270120,Cacimbinhas,9843,273
AL,270130,Cajueiro,20076,124
AL,270135,Campestre,6016,54
AL,270140,Campo Alegre,45307,308
AL,270150,Campo Grande,9563,166
AL,270160,Canapi,17793,572
AL,270170,Capela,17034,205
AL,270180,Carneiros,8044,113
AL,270190,Chã Preta,6953,201
AL,270200,Coité do Nóia,10916,88
AL,270210,Colônia Leopoldina,19363,287
AL,270220,Coqueiro Seco,5336,40
AL,270230,Coruripe,51027,913
AL,270235,Craíbas,22411,275
AL,270240,Delmiro Gouveia,46599,605
AL,270250,Dois Riachos,10885,140
AL,270255,Estrela de Alagoas,16694,264
AL,270260,Feira Grande,21180,156
AL,270270,Feliz Deserto,4370,92
AL,270280,Flexeiras,11928,316
AL,270290,Girau do Ponciano,35162,502
AL,270300,Ibateguara,15359,261
AL,270310,Igaci,25140,334
AL,270320,Igreja Nova,22925,429
AL,270330,Inhapi,17637,374
AL,270340,Jacaré dos Homens,5724,142
AL,270350,Jacuípe,6883,217
AL,270360,Japaratinga,7463,86
AL,270370,Jaramataia,5939,104
AL,270375,Jequiá da Praia,11430,339
AL,270380,Joaquim Gomes,21735,239
AL,270390,Jundiá,4569,120
AL,270400,Junqueiro,24460,254
AL,270410,Lagoa da Canoa,17889,103
AL,270420,Limoeiro de Anadia,25484,316
AL,270430,Maceió,896965,511
AL,270440,Major Isidoro,18811,454
AL,270490,Mar Vermelho,4014,92
AL,270450,Maragogi,25726,334
AL,270460,Maravilha,10203,279
AL,270470,Marechal Deodoro,45141,334
AL,270480,Maribondo,13865,171
AL,270500,Mata Grande,24599,908
AL,270510,Matriz de Camaragibe,24656,330
AL,270520,Messias,15072,113
AL,270530,Minador do Negrão,5160,164
AL,270540,Monteirópolis,7090,86
AL,270550,Murici,25964,424
AL,270560,Novo Lino,11903,182
AL,270570,Olho d`Água das Flores,19885,183
AL,270580,Olho d`Água do Casado,8139,323
AL,270590,Olho d`Água Grande,4817,119
AL,270600,Olivença,10522,173
AL,270610,Ouro Branco,11049,205
AL,270620,Palestina,4878,49
AL,270630,Palmeira dos Índios,70151,461
AL,270640,Pão de Açúcar,23855,659
AL,270642,Pariconha,10209,261
AL,270644,Paripueira,9725,93
AL,270650,Passo de Camaragibe,13826,187
AL,270660,Paulo Jacinto,7534,108
AL,270670,Penedo,59020,689
AL,270680,Piaçabuçu,17466,240
AL,270690,Pilar,31627,249
AL,270700,Pindoba,3126,83
AL,270710,Piranhas,23910,408
AL,270720,Poço das Trincheiras,12205,303
AL,270730,Porto Calvo,25129,260
AL,270740,Porto de Pedras,10321,266
AL,270750,Porto Real do Colégio,17947,240
AL,270760,Quebrangulo,11289,300
AL,270770,Rio Largo,65432,309
AL,270780,Roteiro,6692,129
AL,270790,Santa Luzia do Norte,7248,29
AL,270800,Santana do Ipanema,42296,438
AL,270810,Santana do Mundaú,11663,224
AL,270820,São Brás,6820,140
AL,270830,São José da Laje,22282,265
AL,270840,São José da Tapera,30129,520
AL,270850,São Luís do Quitunde,31647,404
AL,270860,São Miguel dos Campos,51473,361
AL,270870,São Miguel dos Milagres,7219,65
AL,270880,São Sebastião,31002,306
AL,270890,Satuba,14154,43
AL,270895,Senador Rui Palmeira,12641,360
AL,270900,Tanque d`Arca,5695,156
AL,270910,Taquarana,18157,166
AL,270915,Teotônio Vilela,40291,298
AL,270920,Traipu,24911,698
AL,270930,União dos Palmares,60619,428
AL,270940,Viçosa,26050,355
AM,130002,Alvarães,13010,5912
AM,130006,Amaturá,8384,4759
AM,130008,Anamã,8152,2454
AM,130010,Anori,13834,5795
AM,130014,Apuí,17451,54240
AM,130020,Atalaia do Norte,13682,76355
AM,130030,Autazes,29907,7599
AM,130040,Barcelos,24567,122476
AM,130050,Barreirinha,26645,5751
AM,130060,Benjamin Constant,29268,8793
AM,130063,Beruri,13809,17251
AM,130068,Boa Vista do Ramos,13138,2587
AM,130070,Boca do Acre,29818,22349
AM,130080,Borba,31098,44251
AM,130083,Caapiranga,10547,9457
AM,130090,Canutama,11463,29820
AM,130100,Carauari,25110,25767
AM,130110,Careiro,31070,6092
AM,130115,Careiro da Várzea,23023,2631
AM,130120,Coari,65222,57922
AM,130130,Codajás,16025,18712
AM,130140,Eirunepé,29411,15832
AM,130150,Envira,16438,13369
AM,130160,Fonte Boa,19726,12111
AM,130165,Guajará,14102,8904
AM,130170,Humaitá,38559,33072
AM,130180,Ipixuna,17177,13566
AM,130185,Iranduba,32869,2215
AM,130190,Itacoatiara,84676,8892
AM,130195,Itamarati,8078,25276
AM,130200,Itapiranga,9141,4231
AM,130210,Japurá,5281,55791
AM,130220,Juruá,8658,19400
AM,130230,Jutaí,17129,69552
AM,130240,Lábrea,36909,68229
AM,130250,Manacapuru,82309,7329
AM,130255,Manaquiri,19164,3976
AM,130260,Manaus,1646602,11401
AM,130270,Manicoré,44327,48282
AM,130280,Maraã,17507,16910
AM,130290,Maués,47020,39988
AM,130300,Nhamundá,17553,14106
AM,130310,Nova Olinda do Norte,29184,5609
AM,130320,Novo Airão,14630,37771
AM,130330,Novo Aripuanã,18196,41191
AM,130340,Parintins,102044,5952
AM,130350,Pauini,18325,43263
AM,130353,Presidente Figueiredo,24360,25422
AM,130356,Rio Preto da Eva,24858,5813
AM,130360,Santa Isabel do Rio Negro,16921,62846
